app_id,groundedness_measure_with_cot_reasons,agreement_measure,qs_relevance_with_cot_reasons,relevance_with_cot_reasons,latency,total_cost
llama_512_ce24_blockchain_solana,0.9477894710653332,0.7603448275862069,0.4817528735632184,0.9396551724137931,1.4137931034482758,0.0
llama_512_ce24_origin_of_covid_19,0.9128472222222223,0.5708333333333333,0.6611111111111111,0.9375,1.9583333333333333,0.0
lc_512_456b_blockchain_solana,0.8501813703537842,0.7775862068965518,0.6741379310344828,0.8948275862068965,1.4137931034482758,0.0
llama_512_ce24_llama_2_paper,0.8456023809523809,0.652,0.5201666666666667,0.919,1.62,0.0
llama_512_ce24_uber_10k,0.8366923479332238,0.7535279805352798,0.5950223033252231,0.9555961070559611,0.8746958637469586,0.0
lc_512_456b_origin_of_covid_19,0.8176587301587301,0.7583333333333333,0.7708333333333334,0.9708333333333333,1.9583333333333333,0.0
llama_512_ce24_covid_qa,0.7969773899898124,0.7333333333333333,0.6023280423280424,0.9212698412698412,1.3333333333333333,0.0
lc_512_456b_paul_grahman_essay,0.7898674242424243,0.734090909090909,0.6068181818181818,0.8863636363636364,1.6590909090909092,0.0
llama_512_ce24_paul_grahman_essay,0.7842532467532468,0.6113636363636363,0.41628787878787876,0.8295454545454546,1.6590909090909092,0.0
lc_512_456b_covid_qa,0.7469859884882223,0.6462025316455696,0.6781645569620254,0.9468354430379746,1.3291139240506329,0.0
lc_512_456b_braintrust_coda_help_desk,0.73958170995671,0.846,0.757,0.953,1.62,0.0
llama_512_ce24_braintrust_coda_help_desk,0.7357976190476191,0.741,0.5813333333333334,0.932,1.62,0.0
llama_512_ce24_evaluating_llm_survey_paper,0.7085435188568181,0.6692028985507246,0.4916968599033817,0.9409420289855072,1.3369565217391304,0.0
lc_512_456b_llama_2_paper,0.6703928571428571,0.65,0.7090000000000001,0.905,1.62,0.0
lc_512_456b_uber_10k,0.6526629538612773,0.7187576126674787,0.733617539585871,0.961388550548112,0.8757612667478685,0.0
llama_512_ce24_mini_squad_v2,0.5874169040835707,0.5446153846153846,0.38735042735042735,0.9317948717948717,1.3641025641025641,0.0
lc_512_456b_evaluating_llm_survey_paper,0.5196379687140557,0.7018115942028985,0.7358695652173913,0.9583333333333334,1.3369565217391304,0.0
llama_512_ce24_patronus_ai_financebench,0.51921768707483,0.4336734693877551,0.5062925170068028,0.960204081632653,1.6122448979591837,0.0
lc_512_456b_mini_squad_v2,0.5031071260345872,0.4699481865284974,0.5243523316062176,0.9709844559585492,1.3730569948186528,0.0
lc_512_456b_patronus_ai_financebench,0.2193877551020408,0.42040816326530617,0.5204081632653061,0.9846938775510204,1.6122448979591837,0.0
llama_512_ce24_history_of_alexnet,0.1889764530812325,0.545625,0.09838541666666667,0.900625,1.4625,0.0
lc_512_456b_history_of_alexnet,0.07903846153846154,0.5349999999999999,0.22749999999999998,0.9875,1.4625,0.0
